 written on 22Mar2022 at 20:10:06 
   2.82400000000000        2.82400000000000       0.000000000000000E+000
  0.000000000000000E+000   2.82400000000000        2.82400000000000     
   2.82400000000000       0.000000000000000E+000   2.82400000000000     
          16
          43
    3    3    3    3    1    3    3    1    1    3    1    1    1    3    3
    3    3    1    1    3    1    1    1    3    1    1    3    3    3    3
    1    1    1    3    1    1    3    3    1    3    3    3    3

   -2    0    1
    9    1    0.18324108E-02 -0.88243775E-03
   10    1    0.11215241E-02  0.25580050E-04
   11    1   -0.74894740E-03  0.22618488E-02
   12    1   -0.14286681E-03 -0.13934374E-03
   13    1    0.63654214E-03  0.81776967E-03
   14    1   -0.31411650E-02  0.28019177E-02
   15    1   -0.57778634E-03  0.94659808E-03
   16    1    0.54170577E-02 -0.20671134E-02
    1    2    0.10297840E-01  0.27970057E-03
    2    2    0.12752604E-01  0.96359228E-04
    3    2    0.76539674E-01 -0.91974429E-03
    4    2    0.81120067E-02  0.78031785E-03
    5    2   -0.44535868E-01  0.40090015E-03
    6    2   -0.71318304E-01  0.99877550E-03
    7    2   -0.13475349E+00  0.75059912E-04
    8    2   -0.19063597E-01 -0.27667553E-02
    9    2    0.21223785E-02  0.25483716E-02
   10    2    0.16148937E-02 -0.26456376E-03
   11    2   -0.19265689E-02 -0.10836801E-02
   12    2   -0.25976131E-02 -0.21695211E-02
   13    2   -0.28440633E-02 -0.90966226E-03
   14    2   -0.32848838E-03  0.67208405E-03
   15    2    0.20982244E-02 -0.21431094E-03
   16    2    0.62584764E-03 -0.51272458E-03
    1    3    0.12654965E-01 -0.12114746E-02
    2    3    0.13964992E-01 -0.51210826E-03
    3    3    0.27772398E-01  0.52901465E-03
    4    3    0.13992913E-01  0.10536480E-02
    5    3    0.13187564E+00 -0.39860338E-03
    6    3    0.71576670E-01  0.20693592E-02
    7    3    0.14055481E+00 -0.20185505E-03
    8    3    0.70808983E-01 -0.47033862E-03
    9    3   -0.55987846E-05 -0.14753514E-02
   10    3   -0.15848950E-02  0.10791039E-02
   11    3    0.29911687E-03 -0.47269748E-03
   12    3    0.12570739E-02  0.66114213E-03
   13    3    0.78319203E-03  0.11142935E-02
   14    3    0.76642787E-03 -0.15555272E-02
   15    3   -0.23452438E-03 -0.50431060E-03
   16    3   -0.25400463E-02 -0.63727440E-03
    1    4    0.80172243E-02  0.77212214E-04
    2    4    0.94200634E-02  0.67218663E-03
    3    4    0.78734033E-01 -0.10412797E-02
    4    4    0.11953287E-01 -0.26724689E-04
    5    4   -0.42880326E-01  0.23132735E-03
    6    4   -0.18994768E-01  0.98556329E-03
    7    4   -0.13582007E+00  0.30438760E-03
    8    4   -0.71614226E-01 -0.20195277E-03
    9    4   -0.14521978E-02  0.20915750E-03
   10    4    0.12865084E-02 -0.49611031E-03
   11    4    0.22731883E-03 -0.47707029E-03
   12    4    0.17011995E-03 -0.16561609E-03
   13    4   -0.38761454E-03 -0.15396251E-02
   14    4    0.13833250E-02  0.24385109E-02
   15    4    0.10254148E-02  0.14640121E-03
   16    4    0.11737583E-02 -0.98264852E-03
    1    5   -0.39964529E-01  0.47014865E-03
    2    5    0.14417086E+00  0.80455523E-03
    3    5    0.14007360E-01 -0.28588091E-02
    4    5    0.14415385E+00  0.13852894E-02
    5    5   -0.16237319E-01 -0.24310017E-03
