  0.1729759     it           0 (-6.569728909097192E-002,6.195843601357031E-002)
  0.1729759     it           0 (0.212138428329827,1.67407777096404)
  0.2264284     it           0 (3.323239523477689E-002,-0.416566056551800)
  0.2264284     it           0 (-1.22455480883881,-0.552192488714924)
  0.2798809     it           0 (-1.22406841856803,-0.552059132999746)
  0.2798809     it           0 (0.181951961053022,-5.434558878760441E-002)
  0.4402383     it           0 (0.289626756021501,-1.06070171813255)
  0.4402383     it           0 (0.854962967112834,-0.982883914124690)
  0.4936908     it           0 (-6.433074727693965E-002,0.127140445262939)
  0.4936908     it           0 (1.48390598848343,0.596409563142972)
  0.5471433     it           0 (-0.454246258852734,0.278794024671108)
  0.5471433     it           0 (0.308837983400724,-0.482467564694825)
  0.6666667     it           0 (-1.42407073474757,-0.313313429724269)
  0.6666667     it           0 (-0.279823320393418,-2.600310535071550E-002)
  0.7201192     it           0 (-1.68165060665344,-0.483130098934814)
  0.7201192     it           0 (-1.69193412258544,0.621795504081251)
  0.7735716     it           0 (-0.387061926069227,0.319993363432976)
  0.7735716     it           0 (0.418898366814354,-0.285789590378335)
  0.8930950     it           0 (0.950237579471879,-0.181147434380117)
  0.8930950     it           0 (0.351440945745878,-0.462048320402828)
  0.9465475     it           0 (0.178899648079668,-0.277944205051210)
  0.9465475     it           0 (-0.686299971030750,1.64082000896069)
   1.000000     it           0 (-6.307439585728468E-002,-0.143477798271847)
 
  0.0000000E+00 it           0 (-0.161708724285332,0.114181405827526)
  5.3452484E-02 it           0 (-0.161708724285332,0.114181405827526)
  5.3452484E-02 it           0 (-0.161708724285332,0.114181405827526)
  0.1729759     it           0 (-0.275745682251998,1.10038420908076)
  0.1729759     it           0 (0.125765187470187,-0.827678666537344)
  0.2264284     it           0 (-7.617538255321503E-002,0.130832587265199)
  0.2264284     it           0 (-0.533934908234845,-0.462652017406974)
  0.2798809     it           0 (-0.534077703486679,-0.461285186699491)
  0.2798809     it           0 (-1.42752215678575,-0.766303371792145)
  0.4402383     it           0 (0.844856795394470,-0.737022170882370)
  0.4402383     it           0 (6.800624563139805E-002,0.688798069292545)
  0.4936908     it           0 (9.789386667443677E-002,0.859249016227947)
  0.4936908     it           0 (0.892528586941294,-0.714842656389076)
  0.5471433     it           0 (-0.596712922219487,-0.384170182429793)
  0.5471433     it           0 (-9.185211703820165E-004,-0.841080745003739)
  0.6666667     it           0 (-1.21338954110870,-6.257245799472741E-002)
  0.6666667     it           0 (-1.96133653220103,-0.281864919681016)
  0.7201192     it           0 (-0.932892294744105,1.885075338444482E-002)
  0.7201192     it           0 (-0.164153367142321,-0.350857980002776)
  0.7735716     it           0 (-0.125616206872206,0.108954293865831)
  0.7735716     it           0 (-0.923958799145578,0.550617069519027)
  0.8930950     it           0 (0.514038541647036,0.308766377406463)
  0.8930950     it           0 (-0.923641035080228,0.364928169261447)
  0.9465475     it           0 (2.24610978746691,0.439334078090872)
  0.9465475     it           0 (-0.275415263923202,1.07471613334392)
   1.000000     it           0 (-0.321277603603022,0.497324771364817)
 
  0.0000000E+00 it           0 (-0.694331532981681,-0.402886872039964)
  5.3452484E-02 it           0 (-0.694331532981681,-0.402886872039964)
  5.3452484E-02 it           0 (-0.694331532981681,-0.402886872039964)
  0.1729759     it           0 (0.152829496500279,1.40696875439994)
  0.1729759     it           0 (0.632309771462973,1.18908635061378)
  0.2264284     it           0 (0.608823580412007,0.921422356738396)
  0.2264284     it           0 (-1.03112911799143,0.249955852892477)
  0.2798809     it           0 (-1.03214456323882,0.250870981351636)
  0.2798809     it           0 (-0.952473770391958,0.322328649659706)
  0.4402383     it           0 (-0.858624087797982,0.134211836565158)
  0.4402383     it           0 (-1.30444942306345,0.749084406628822)
  0.4936908     it           0 (1.21187905645083,-0.630076306139065)
  0.4936908     it           0 (0.602476109448391,-0.600636081631019)
  0.5471433     it           0 (-1.38720464891055,1.35482204452138)
  0.5471433     it           0 (-0.485356333875813,0.359587860317828)
  0.6666667     it           0 (-4.684199398654443E-002,-0.216938997501019)
  0.6666667     it           0 (-4.833027786164189E-002,-0.224084200173938)
  0.7201192     it           0 (-0.948246875999782,-1.33804291024686)
  0.7201192     it           0 (-5.403936183804664E-002,0.103067947296764)
  0.7735716     it           0 (0.132622084343908,-3.178472878341749E-003)
  0.7735716     it           0 (0.135218524375440,-0.112013482953499)
  0.8930950     it           0 (0.315112220908678,-0.766586612235595)
